22,560670,641338,8388606
22,351946,400734,8388606
17,19270,24002,262142
25,2573094,2960950,67108862
11,1070,1194,4094
21,335498,405486,4194302
4,14,14,30
26,15812362,17570786,134217726
19,115042,135858,1048574
25,1319746,1806102,67108862
3,10,10,14
14,3474,3574,32766
4,14,14,30
26,4424978,5318110,134217726
22,289922,317174,8388606
12,1022,1070,8190
27,7824874,10838562,268435454
9,142,162,1022
25,3408254,4329538,67108862
4,14,14,30
21,513162,609562,4194302
16,15138,16854,131070
25,3719538,4801306,67108862
25,3133290,4476206,67108862
26,3397470,3618290,134217726
